Region_of_Origin|District_of_Origin|County_of_Origin|Period|GenderDescription|AgeClassDescription|Average_BusUsers_per_Day
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Female"|"15-24"|294.194206
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Female"|"25-34"|1081.652817
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Female"|"35-44"|235.836653
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Female"|"45-54"|840.951323
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Female"|"55-64"|1216.148092
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"15-24"|1148.427051
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"25-34"|421.940180
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"35-44"|137.697607
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"45-54"|617.693161
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"55-64"|867.481913
"R1 - AM Lisboa"|"Lisboa"|"Amadora"|"Sep-19 to Feb-20"|"Male"|"65+"|1612.851365
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"15-24"|745.379537
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"25-34"|919.144204
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"35-44"|816.414391
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"45-54"|970.140963
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"55-64"|756.408177
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Female"|"65+"|2017.333975
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Male"|"15-24"|4548.093582
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Male"|"25-34"|298.292615
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Male"|"35-44"|439.301423
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Male"|"45-54"|690.807533
"R1 - AM Lisboa"|"Lisboa"|"Cascais"|"Sep-19 to Feb-20"|"Male"|"55-64"|822.493709
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"15-24"|2622.526139
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"25-34"|1505.189142
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"35-44"|1021.261465
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"45-54"|1217.651233
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"55-64"|2407.573978
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Female"|"65+"|4955.503747
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Male"|"15-24"|3061.885495
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Male"|"25-34"|2919.594549
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Male"|"35-44"|1289.676418
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Male"|"45-54"|1041.699059
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Male"|"55-64"|1714.973185
"R1 - AM Lisboa"|"Lisboa"|"Lisboa"|"Sep-19 to Feb-20"|"Male"|"65+"|4116.755355
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Female"|"15-24"|2529.941678
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Female"|"25-34"|866.086815
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Female"|"35-44"|817.834735
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Female"|"45-54"|292.304178
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Female"|"55-64"|264.211066
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Female"|"65+"|147.474840
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Male"|"15-24"|115.773418
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Male"|"25-34"|117.599576
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Male"|"35-44"|452.760878
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Male"|"45-54"|774.207928
"R1 - AM Lisboa"|"Lisboa"|"Loures"|"Sep-19 to Feb-20"|"Male"|"55-64"|2105.541715
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-19 to Feb-20"|"Female"|"15-24"|384.745532
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-19 to Feb-20"|"Female"|"25-34"|121.575760
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-19 to Feb-20"|"Female"|"35-44"|1615.902979
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-19 to Feb-20"|"Female"|"45-54"|249.054524
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-19 to Feb-20"|"Male"|"15-24"|116.974878
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-19 to Feb-20"|"Male"|"25-34"|432.498117
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-19 to Feb-20"|"Male"|"35-44"|23.104181
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-19 to Feb-20"|"Male"|"45-54"|166.322924
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-19 to Feb-20"|"Male"|"55-64"|273.979757
"R1 - AM Lisboa"|"Lisboa"|"Mafra"|"Sep-19 to Feb-20"|"Male"|"65+"|1217.088440
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-19 to Feb-20"|"Female"|"15-24"|965.790017
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-19 to Feb-20"|"Female"|"25-34"|461.725149
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-19 to Feb-20"|"Female"|"35-44"|653.928959
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-19 to Feb-20"|"Female"|"45-54"|1724.795552
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-19 to Feb-20"|"Female"|"55-64"|816.338215
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-19 to Feb-20"|"Male"|"25-34"|1405.963201
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-19 to Feb-20"|"Male"|"35-44"|1683.830909
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-19 to Feb-20"|"Male"|"45-54"|2040.400332
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-19 to Feb-20"|"Male"|"55-64"|2031.494335
"R1 - AM Lisboa"|"Lisboa"|"Odivelas"|"Sep-19 to Feb-20"|"Male"|"65+"|5441.109494
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Female"|"15-24"|2068.685107
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Female"|"25-34"|21.863276
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Female"|"35-44"|335.828948
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Female"|"45-54"|1184.322816
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Female"|"55-64"|3560.659986
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Female"|"65+"|2264.585254
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Male"|"25-34"|1126.049729
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Male"|"35-44"|1341.769467
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Male"|"45-54"|695.774521
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Male"|"55-64"|1525.267809
"R1 - AM Lisboa"|"Lisboa"|"Oeiras"|"Sep-19 to Feb-20"|"Male"|"65+"|9574.868536
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Female"|"15-24"|809.491342
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Female"|"25-34"|702.876310
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Female"|"35-44"|1067.548506
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Female"|"45-54"|628.884637
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Female"|"55-64"|575.924467
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Female"|"65+"|341.166005
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Male"|"15-24"|1039.448490
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Male"|"25-34"|514.157731
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Male"|"35-44"|560.391065
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Male"|"45-54"|724.617493
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Male"|"55-64"|822.201267
"R1 - AM Lisboa"|"Lisboa"|"Sintra"|"Sep-19 to Feb-20"|"Male"|"65+"|371.207607
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Female"|"15-24"|1526.050605
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Female"|"25-34"|57.097292
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Female"|"35-44"|467.533246
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Female"|"45-54"|703.039153
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Female"|"55-64"|967.153277
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Female"|"65+"|598.696931
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Male"|"25-34"|791.983677
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Male"|"35-44"|137.425488
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Male"|"45-54"|534.709075
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Male"|"55-64"|141.556626
"R1 - AM Lisboa"|"Lisboa"|"Vila Franca de Xira"|"Sep-19 to Feb-20"|"Male"|"65+"|4619.763109
"R1 - AM Lisboa"|"Setúbal"|"Alcochete"|"Sep-19 to Feb-20"|"Female"|"25-34"|47.734735
"R1 - AM Lisboa"|"Setúbal"|"Alcochete"|"Sep-19 to Feb-20"|"Female"|"45-54"|42.712664
"R1 - AM Lisboa"|"Setúbal"|"Alcochete"|"Sep-19 to Feb-20"|"Male"|"35-44"|148.504551
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Female"|"15-24"|76.985260
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Female"|"25-34"|529.797711
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Female"|"35-44"|1113.117185
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Female"|"45-54"|701.945176
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Female"|"55-64"|1539.058170
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Male"|"15-24"|1140.502352
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Male"|"25-34"|17.528597
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Male"|"35-44"|567.133667
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Male"|"45-54"|734.437908
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Male"|"55-64"|1153.217952
"R1 - AM Lisboa"|"Setúbal"|"Almada"|"Sep-19 to Feb-20"|"Male"|"65+"|754.478639
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-19 to Feb-20"|"Female"|"25-34"|154.142963
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-19 to Feb-20"|"Female"|"35-44"|216.209564
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-19 to Feb-20"|"Female"|"45-54"|142.916866
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-19 to Feb-20"|"Female"|"55-64"|592.699020
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-19 to Feb-20"|"Female"|"65+"|6863.508899
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-19 to Feb-20"|"Male"|"25-34"|250.727837
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-19 to Feb-20"|"Male"|"35-44"|269.762879
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-19 to Feb-20"|"Male"|"45-54"|159.137107
"R1 - AM Lisboa"|"Setúbal"|"Barreiro"|"Sep-19 to Feb-20"|"Male"|"55-64"|138.424940
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-19 to Feb-20"|"Female"|"15-24"|25.139772
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-19 to Feb-20"|"Female"|"35-44"|1126.283479
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-19 to Feb-20"|"Female"|"45-54"|251.447252
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-19 to Feb-20"|"Male"|"15-24"|411.245640
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-19 to Feb-20"|"Male"|"45-54"|335.032273
"R1 - AM Lisboa"|"Setúbal"|"Moita"|"Sep-19 to Feb-20"|"Male"|"55-64"|17.028465
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-19 to Feb-20"|"Female"|"35-44"|65.504612
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-19 to Feb-20"|"Female"|"45-54"|33.591196
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-19 to Feb-20"|"Male"|"25-34"|602.079344
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-19 to Feb-20"|"Male"|"35-44"|217.440708
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-19 to Feb-20"|"Male"|"45-54"|747.404025
"R1 - AM Lisboa"|"Setúbal"|"Montijo"|"Sep-19 to Feb-20"|"Male"|"55-64"|224.170080
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-19 to Feb-20"|"Female"|"25-34"|28.561207
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-19 to Feb-20"|"Female"|"35-44"|78.456020
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-19 to Feb-20"|"Female"|"45-54"|698.500461
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-19 to Feb-20"|"Female"|"55-64"|978.140462
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-19 to Feb-20"|"Female"|"65+"|2484.065644
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-19 to Feb-20"|"Male"|"35-44"|15.544175
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-19 to Feb-20"|"Male"|"45-54"|170.105533
"R1 - AM Lisboa"|"Setúbal"|"Palmela"|"Sep-19 to Feb-20"|"Male"|"55-64"|17.659149
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Female"|"15-24"|1659.214870
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Female"|"25-34"|526.222318
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Female"|"35-44"|430.854109
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Female"|"45-54"|532.982647
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Female"|"55-64"|236.728677
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Female"|"65+"|3368.063491
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Male"|"15-24"|37.697725
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Male"|"25-34"|1964.138353
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Male"|"35-44"|98.771815
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Male"|"45-54"|538.247601
"R1 - AM Lisboa"|"Setúbal"|"Seixal"|"Sep-19 to Feb-20"|"Male"|"55-64"|1141.757788
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-19 to Feb-20"|"Female"|"35-44"|186.003027
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-19 to Feb-20"|"Female"|"45-54"|130.390426
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-19 to Feb-20"|"Female"|"65+"|67.916045
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-19 to Feb-20"|"Male"|"25-34"|110.870067
"R1 - AM Lisboa"|"Setúbal"|"Sesimbra"|"Sep-19 to Feb-20"|"Male"|"35-44"|191.243758
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-19 to Feb-20"|"Female"|"25-34"|331.657285
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-19 to Feb-20"|"Female"|"35-44"|105.175159
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-19 to Feb-20"|"Female"|"45-54"|740.266994
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-19 to Feb-20"|"Female"|"65+"|442.945625
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-19 to Feb-20"|"Male"|"25-34"|310.902223
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-19 to Feb-20"|"Male"|"35-44"|219.090928
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-19 to Feb-20"|"Male"|"45-54"|292.351649
"R1 - AM Lisboa"|"Setúbal"|"Setúbal"|"Sep-19 to Feb-20"|"Male"|"55-64"|2306.435434
"R2 - AM Porto"|"Aveiro"|"Espinho"|"Sep-19 to Feb-20"|"Female"|"25-34"|282.382257
"R2 - AM Porto"|"Aveiro"|"Espinho"|"Sep-19 to Feb-20"|"Female"|"35-44"|112.209066
"R2 - AM Porto"|"Aveiro"|"Espinho"|"Sep-19 to Feb-20"|"Male"|"25-34"|324.282029
"R2 - AM Porto"|"Aveiro"|"Oliveira de Azeméis"|"Sep-19 to Feb-20"|"Female"|"25-34"|30.498730
"R2 - AM Porto"|"Aveiro"|"Oliveira de Azeméis"|"Sep-19 to Feb-20"|"Female"|"35-44"|227.205005
"R2 - AM Porto"|"Aveiro"|"Oliveira de Azeméis"|"Sep-19 to Feb-20"|"Male"|"15-24"|2532.403842
"R2 - AM Porto"|"Aveiro"|"Oliveira de Azeméis"|"Sep-19 to Feb-20"|"Male"|"35-44"|26.800140
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-19 to Feb-20"|"Female"|"25-34"|153.751464
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-19 to Feb-20"|"Female"|"35-44"|860.110131
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-19 to Feb-20"|"Female"|"45-54"|67.578262
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-19 to Feb-20"|"Male"|"15-24"|290.768477
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-19 to Feb-20"|"Male"|"25-34"|734.897731
"R2 - AM Porto"|"Aveiro"|"Santa Maria da Feira"|"Sep-19 to Feb-20"|"Male"|"35-44"|130.878587
