ESCOLA SEDE,latitude,longitude
"Escola Básica São Gonçalo, Torres Vedras",39.08156,-9.2622
"Escola Básica Padre Vítor Melícias, Torres Vedras",39.08922,-9.25895
Escola Básica e Secundária do Cadaval,39.23972,-9.06079
"Escola Básica Dr. Rui Grácio, Montelavar, Sintra",38.86337,-9.32932
"Escola Básica Visconde de Chanceleiros, Merceana, Alenquer",39.09359,-9.11223
"Escola Secundária Henriques Nogueira, Torres Vedras",39.08822,-9.25532
"Escola Básica Luis de Sttau Monteiro, Loures",38.82798,-9.16661
"Escola Secundária Dr. João Manuel da Costa Delgado, Lourinhã",39.2481,-9.30891
"Escola Secundária Madeira Torres, Torres Vedras",39.08529,-9.25855
"Escola Secundária Vergilio Ferreira, Lisboa",38.76016,-9.1814
"Escola Básica João Villaret, Loures",38.83037,-9.16293
"Escola Básica António Bento Franco, Ericeira, Mafra",38.96757,-9.40923
Escola Básica de Mafra,38.93946,-9.33615
"Escola Secundária Braancamp Freire, Pontinha, Odivelas",38.76736,-9.20164
"Escola Básica do Alto dos Moinhos, Terrugem, Sintra",38.85274,-9.38362
"Escola Básica e Secundária Padre Alberto Neto, Queluz, Sintra",38.75446,-9.25283
"Escola Básica Alfredo da Silva, Albarraque, Sintra",38.75162,-9.35132
"Escola Secundária de Santa Maria, Sintra",38.80005,-9.37818
"Escola Básica de Vialonga, Vila Franca de Xira",38.87385,-9.08258
"Escola Básica Pedro Jacques de Magalhães, Alverca do Ribatejo, Vila Franca de Xira",38.8901,-9.03508
"Escola Básica de Abrigada, Alenquer",39.1407,-9.01469
"Escola Básica de Alcabideche, Cascais",38.73126,-9.40377
"Escola Secundária D. Dinis, Lisboa",38.7519,-9.11203
"Escola Básica de Camarate, Loures",38.80349,-9.12914
"Escola Básica da Venda do Pinheiro, Mafra",38.92597,-9.23356
Escola Secundária de Odivelas,38.792,-9.17713
"Escola Básica Soeiro Pereira Gomes, Alhandra, Vila Franca de Xira",38.93756,-9.02543
"Escola Básica e Secundária D. Martinho Vaz de Castelo Branco,Póvoa de Santa Iria,Vila Franca de Xira",38.86469,-9.07412
Escola Secundária da Azambuja,39.07008,-8.91289
"Escola Básica de Alapraia, Cascais",39.02831,-9.21087
"Escola Básica e Secundária de Carcavelos, Cascais",38.68727,-9.32668
"Escola Secundária Fernando Lopes Graça, Parede, Cascais",38.6961,-9.35267
"Escola Básica e Secundária Matilde Rosa Araújo, Matarraque, Cascais",38.7078,-9.35312
"Escola Secundária do Restelo, Lisboa",38.70917,-9.21187
"Escola Secundária do Lumiar, Lisboa",38.7692,-9.16178
"Escola Básica de Santa Iria de Azóia, Loures",38.83773,-9.08574
"Escola Secundária de Sacavém, Loures",38.7897,-9.10679
"Escola Básica Vasco Santana, Ramada, Odivelas",38.80376,-9.18498
"Escola Secundária Professor José Augusto Lucas, Linda-a-Velha, Oeiras",38.7159,-9.23698
"Escola Básica e Secundária Joaquim Inácio da Cruz Sobral, Sobral de Monte Agraço",39.02249,-9.10417
"Escola Secundária Damião de Goes, Alenquer",39.04589,-8.99763
Escola Secundária de Cascais,38.69876,-9.43717
"Escola Básica e Secundária Frei Gonçalo de Azevedo, São Domingos de Rana, Cascais",38.71709,-9.33747
"Escola Básica Francisco de Arruda, Lisboa",38.70607,-9.1867
"Escola Básica Nuno Gonçalves, Lisboa",38.7267,-9.12812
"Escola Secundária Rainha Dona Leonor, Lisboa",38.80192,-9.21359
"Escola Secundária de São João da Talha, Loures",38.82351,-9.09671
"Escola Secundária José Afonso, Loures",38.82705,-9.16343
"Escola Básica Professor Armando de Lucena, Malveira, Mafra",38.93309,-9.25857
"Escola Básica e Secundária Amélia Rey Colaço, Linda-a-Velha, Oeiras",38.70609,-9.24298
"Escola Básica António Sérgio, Cacém, Sintra",38.77056,-9.30206
"Escola Básica D. Carlos I, Sintra",38.80911,-9.37831
"Escola Secundária Leal da Câmara, Rio de Mouro, Sintra",38.78223,-9.31866
"Escola Secundária Alves Redol, Vila Franca de Xira",38.9647,-8.98332
"Escola Básica e Secundária Professor Reynaldo dos Santos, Vila Franca de Xira",38.95361,-9.00048
"Escola Secundária Fernando Namora, Amadora",38.76654,-9.21553
"Escola Secundária Seomara da Costa Primo, Amadora",38.76034,-9.24749
"Escola Básica Prof. Pedro D´Orey da Cunha, Damaia, Amadora",38.74317,-9.21889
"Escola Básica de Alfornelos, Amadora",38.76521,-9.21293
"Escola Básica José Cardoso Pires, São Brás, Amadora",38.76906,-9.23205
Escola Secundária da Amadora,38.75607,-9.23182
"Escola Básica Vale Aveiras, Aveiras de Cima, Azambuja",39.1395,-8.90737
"Escola Básica e Secundária da Cidadela, Cascais",38.70161,-9.42805
"Escola Básica e Secundária Ibn Mucana, Alcabideche, Cascais",38.73129,-9.40805
"Escola Básica e Secundária Passos Manuel, Lisboa",38.71158,-9.14993
"Escola Secundária D. Pedro V, Lisboa",38.74157,-9.16365
"Escola Secundária José Gomes Ferreira, Lisboa",38.74803,-9.19161
"Escola Secundária António Damásio, Lisboa",38.69742,-9.3298
"Escola Básica do Alto do Lumiar, Lisboa",38.77374,-9.14683
"Escola Básica Marquesa de Alorna, Lisboa",38.73526,-9.15803
"Escola Secundária Dr. António Carvalho Figueiredo, Loures",38.82915,-9.16254
"Escola Básica da Bobadela, Loures",38.80533,-9.1032
"Escola Secundária do Arco-Íris, Portela, Loures",38.78487,-9.11608
"Escola Básica António Gedeão, Odivelas",38.78793,-9.19254
"Escola Secundária de Caneças, Odivelas",38.81125,-9.23101
"Escola Secundária Pedro Alexandrino, Póvoa de Santo Adrião, Odivelas",38.80487,-9.16422
"Escola Secundária Camilo Castelo Branco, Carnaxide, Oeiras",38.72193,-9.24487
"Escola Secundária Luís de Freitas Branco, Paço de Arcos, Oeiras",38.69727,-9.29906
"Escola Secundária Sebastião e Silva, Oeiras",38.69396,-9.31347
"Escola Básica e Secundária Gama Barros, Cacém, Sintra",38.77128,-9.31359
"Escola Secundária Stuart Carvalhais, Massamá, Sintra",38.75792,-9.27604
"Escola Básica Ferreira de Castro, Ouressa, Sintra",38.79633,-9.35155
"Escola Básica do Carregado, Alenquer",39.02,-8.96363
"Escola Básica Almeida Garrett, Alfragide, Amadora",38.74451,-9.23205
"Escola Básica Cardoso Lopes, Amadora",38.76822,-9.23723
"Escola Básica Miguel Torga, São Brás, Amadora",38.7689,-9.22631
Escola Básica de Arruda dos Vinhos,38.98116,-9.08017
"Escola Básica de Manique do Intendente, Azambuja",39.22025,-8.8911
"Escola Básica e Secundária de Alvide, Cascais",38.7182,-9.42438
"Escola Básica das Olaias, Lisboa",38.73928,-9.12175
"Escola Secundária Padre António Vieira, Lisboa",38.75786,-9.1363
"Escola Básica Fernando Pessoa, Lisboa",38.76591,-9.11574
"Escola Básica Luís António Verney, Lisboa",38.73457,-9.11349
"Escola Básica Manuel da Maia, Lisboa",38.71733,-9.1698
"Escola Básica e Secundária Josefa de Óbidos, Lisboa",38.72286,-9.26206
"Escola Básica de Piscinas, Lisboa",38.77187,-9.11142
"Escola Básica do Catujal, Loures",38.81639,-9.12637
"Escola Secundária José Cardoso Pires, Loures",38.81031,-9.17615
"Escola Básica de Moinhos da Arroja, Odivelas",38.79496,-9.19281
"Escola Básica de São Bruno, Caxias, Oeiras",38.70998,-9.27578
"Escola Básica Rainha D. Leonor de Lencastre, São Marcos, Sintra",38.74981,-9.29877
"Escola Básica Professor Agostinho da Silva, Casal de Cambra, Sintra",38.79882,-9.23217
"Escola Básica D. António de Ataíde, Castanheira do Ribatejo, Vila Franca de Xira",38.99779,-8.97281
"Escola Básica e Secundária Dr. Azevedo Neves, Damaia, Amadora",38.74774,-9.2212
"Escola Básica e Secundária de Mães D´Água, Falagueira, Amadora",38.76274,-9.22579
"Escola Básica e Secundária D. Filipa de Lencastre, Lisboa",38.73966,-9.14078
"Escola Básica do Bairro Padre Cruz, Lisboa",38.76779,-9.1932
"Escola Secundária Eça de Queirós, Lisboa",38.79095,-9.14312
"Escola Básica e Secundária Gil Vicente, Lisboa",38.71647,-9.128
"Escola Básica Patrício Prazeres, Lisboa",38.72261,-9.11803
"Escola Básica da Quinta de Marrocos, Lisboa",38.75088,-9.19848
"Escola Básica D. Dinis, Odivelas",38.78708,-9.18603
"Escola Básica Conde de Oeiras, Oeiras",38.69627,-9.32579
"Escola Básica e Secundária Mestre Domingos Saraiva, Algueirão, Sintra",38.80277,-9.35199
"Escola Básica Escultor Francisco dos Santos, Fitares, Sintra",38.78396,-9.31252
"Escola Secundária Miguel Torga, Monte Abraão, Sintra",38.75424,-9.26871
"Escola Básica Ruy Belo, Queluz, Sintra",38.77617,-9.18658
"Escola Básica Visconde de Juromenha, Mem Martins, Sintra",38.78427,-9.3437
"Escola Básica do Bom Sucesso, Alverca do Ribatejo, Vila Franca de Xira",38.90089,-9.03726
"Escola Secundária do Forte da Casa, Vila Franca de Xira",38.87585,-9.05517
"Escola Básica e Secundária D. João V, Damaia, Amadora",38.74359,-9.21637
"Escola Básica Luís de Camões, Lisboa",38.74444,-9.135
"Escola Básica Pintor Almada Negreiros, Lisboa",38.7785,-9.1445
"Escola Artística António Arroio, Lisboa",38.73632,-9.12763
"Escola Artística de Dança do Conservatório Nacional, Lisboa",38.71227,-9.14741
"Escola Artística de Música do Conservatório Nacional, Lisboa",38.71245,-9.14636
Escola Artística do Instituto Gregoriano de Lisboa,38.74896,-9.15035
"Escola Profissional de Ciências Geográficas, Lisboa",38.72596,-9.15829
"Escola Secundária de Camões, Lisboa",38.73008,-9.14444
"Escola Secundária Fonseca Benevides, Lisboa",38.70383,-9.18596
"Escola Secundária Maria Amália Vaz de Carvalho, Lisboa",38.72666,-9.1568
"Escola Secundária Marquês de Pombal, Lisboa",38.69788,-9.19513
"Escola Secundária Pedro Nunes, Lisboa",38.7171,-9.15794
"Escola Secundária Rainha Dona Amélia, Lisboa",38.71517,-9.15444
"Escola Secundária de Camarate, Loures",38.79201,-9.14199
"Escola Secundária José Saramago, Mafra",38.94182,-9.33572
"Escola Profissional Agrícola D. Dinis - Paiã, Odivelas",38.78161,-9.20611
"Escola Secundária da Ramada, Odivelas",38.80298,-9.18387
"Escola Secundária da Quinta do Marquês, Oeiras",38.69627,-9.32579
"Escola Secundária Ferreira Dias, Agualva, Sintra",38.77051,-9.29535
"Escola Secundária Gago Coutinho, Alverca do Ribatejo, Vila Franca de Xira",38.8905,-9.03574
